2025-02-10 22:05:05.274 | INFO     | __main__:scrape_prices:202 - Starting price scraping
2025-02-10 22:05:09.129 | DEBUG    | __main__:get_page_content:79 - Accessing https://tavex.bg/zlato
2025-02-10 22:05:17.108 | DEBUG    | __main__:get_page_content:106 - No cookie consent button found or already accepted
2025-02-10 22:05:17.124 | DEBUG    | __main__:get_page_content:121 - Found selector: ('class name', 'product')
2025-02-10 22:05:37.059 | DEBUG    | __main__:scrape_prices:227 - Found 151 product items
2025-02-10 22:05:37.061 | DEBUG    | __main__:scrape_prices:235 - Found 151 product items
2025-02-10 22:05:37.061 | DEBUG    | __main__:scrape_prices:258 - Could not find buying price for product with name: 0,25 грама златно кюлче Tavex
2025-02-10 22:05:37.061 | DEBUG    | __main__:scrape_prices:258 - Could not find buying price for product with name: 1 грам абонаментно златно кюлче Tavex
2025-02-10 22:05:37.062 | DEBUG    | __main__:scrape_prices:258 - Could not find buying price for product with name: 1 унция златна монета Австралийски лунар година на Змията 2025
2025-02-10 22:05:37.062 | DEBUG    | __main__:scrape_prices:258 - Could not find buying price for product with name: 5 грама златно кюлче PAMP лунар година на Змията 2025
2025-02-10 22:05:37.063 | DEBUG    | __main__:scrape_prices:258 - Could not find buying price for product with name: 5 грама златно кюлче Argor-Heraeus лунар Змия 2025
2025-02-10 22:05:37.063 | DEBUG    | __main__:scrape_prices:258 - Could not find buying price for product with name: 1 грам златно кюлче Argor-Heraeus лунар Змия 2025
2025-02-10 22:05:37.064 | DEBUG    | __main__:scrape_prices:376 - Successfully scraped prices for 1 грам абонаментно златно кюлче Tavex: Selling: 183.0 BGN, Buying: 203.0 BGN
2025-02-10 22:05:37.064 | DEBUG    | __main__:scrape_prices:396 - Successfully scraped prices for 1 грам абонаментно златно кюлче Tavex: Selling: 183.0 BGN, Buying: 203.0 BGN
2025-02-10 22:05:37.065 | DEBUG    | __main__:scrape_prices:376 - Successfully scraped prices for 0,25 грама златно кюлче Tavex: Selling: 49.0 BGN, Buying: 53.0 BGN
2025-02-10 22:05:37.066 | DEBUG    | __main__:scrape_prices:396 - Successfully scraped prices for 0,25 грама златно кюлче Tavex: Selling: 49.0 BGN, Buying: 53.0 BGN
2025-02-10 22:05:37.067 | DEBUG    | __main__:scrape_prices:376 - Successfully scraped prices for 1 унция златна монета Британия: Selling: 5658.0 BGN, Buying: 5714.0 BGN
2025-02-10 22:05:37.067 | DEBUG    | __main__:scrape_prices:396 - Successfully scraped prices for 1 унция златна монета Британия: Selling: 5658.0 BGN, Buying: 5714.0 BGN
2025-02-10 22:05:37.068 | DEBUG    | __main__:scrape_prices:376 - Successfully scraped prices for 1 унция златна монета Виенска Филхармония: Selling: 5658.0 BGN, Buying: 5742.0 BGN
2025-02-10 22:05:37.068 | DEBUG    | __main__:scrape_prices:396 - Successfully scraped prices for 1 унция златна монета Виенска Филхармония: Selling: 5658.0 BGN, Buying: 5742.0 BGN
2025-02-10 22:05:37.069 | DEBUG    | __main__:scrape_prices:376 - Successfully scraped prices for 1/10 унция златна монета Британия: Selling: 585.0 BGN, Buying: 630.0 BGN
2025-02-10 22:05:37.070 | DEBUG    | __main__:scrape_prices:396 - Successfully scraped prices for 1/10 унция златна монета Британия: Selling: 585.0 BGN, Buying: 630.0 BGN
2025-02-10 22:05:37.071 | DEBUG    | __main__:scrape_prices:376 - Successfully scraped prices for 1/10 унция златна монета Виенска Филхармония: Selling: 585.0 BGN, Buying: 641.0 BGN
2025-02-10 22:05:37.071 | DEBUG    | __main__:scrape_prices:396 - Successfully scraped prices for 1/10 унция златна монета Виенска Филхармония: Selling: 585.0 BGN, Buying: 641.0 BGN
