2025-02-19 21:26:49.043 | DEBUG    | __main__:scrape_prices:249 - Product 30 грама сребърна монета Китайска панда 2022 is out of stock
2025-02-19 21:26:49.044 | DEBUG    | __main__:scrape_prices:315 - Successfully scraped out of stock product 30 грама сребърна монета Китайска панда 2022: Selling: 79.15 BGN
2025-02-19 21:26:49.044 | DEBUG    | __main__:scrape_prices:249 - Product 1 унция  Кукабура 2022 година is out of stock
2025-02-19 21:26:49.044 | DEBUG    | __main__:scrape_prices:315 - Successfully scraped out of stock product 1 унция  Кукабура 2022 година: Selling: 79.55 BGN
2025-02-19 21:26:49.462 | SUCCESS  | __main__:save_to_excel:196 - Data saved to price_history_silver.xlsx
2025-02-19 21:26:49.462 | SUCCESS  | __main__:scrape_prices:333 - Successfully scraped 22 products
2025-02-19 21:26:49.463 | INFO     | __main__:generate_report:346 - Generating price report
2025-02-19 21:26:55.626 | SUCCESS  | __main__:generate_report:377 - Price trend report generated successfully
2025-02-19 21:33:21.500 | INFO     | __main__:scrape_prices:202 - Starting price scraping
2025-02-19 21:33:24.452 | DEBUG    | __main__:get_page_content:79 - Accessing https://tavex.bg/zlato
2025-02-19 21:33:33.666 | DEBUG    | __main__:get_page_content:106 - No cookie consent button found or already accepted
2025-02-19 21:33:33.694 | DEBUG    | __main__:get_page_content:121 - Found selector: ('class name', 'product')
2025-02-19 21:33:57.807 | DEBUG    | __main__:scrape_prices:225 - Found 151 product items
2025-02-19 21:33:57.807 | DEBUG    | __main__:scrape_prices:254 - Could not find buying price for product with name: 0,25 грама златно кюлче Tavex
2025-02-19 21:33:57.808 | DEBUG    | __main__:scrape_prices:254 - Could not find buying price for product with name: 1 грам абонаментно златно кюлче Tavex
2025-02-19 21:33:57.808 | DEBUG    | __main__:scrape_prices:254 - Could not find buying price for product with name: 1 унция златна монета Австралийски лунар година на Змията 2025
2025-02-19 21:33:57.808 | DEBUG    | __main__:scrape_prices:254 - Could not find buying price for product with name: 5 грама златно кюлче PAMP лунар година на Змията 2025
2025-02-19 21:33:57.809 | DEBUG    | __main__:scrape_prices:254 - Could not find buying price for product with name: 5 грама златно кюлче Argor-Heraeus лунар Змия 2025
2025-02-19 21:33:57.809 | DEBUG    | __main__:scrape_prices:254 - Could not find buying price for product with name: 1 грам златно кюлче Argor-Heraeus лунар Змия 2025
2025-02-19 21:33:57.810 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 грам абонаментно златно кюлче Tavex: Selling: 183.0 BGN, Buying: 203.0 BGN
2025-02-19 21:33:57.810 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 0,25 грама златно кюлче Tavex: Selling: 49.0 BGN, Buying: 53.0 BGN
2025-02-19 21:33:57.811 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Британия: Selling: 5639.0 BGN, Buying: 5695.0 BGN
2025-02-19 21:33:57.811 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Виенска Филхармония: Selling: 5639.0 BGN, Buying: 5723.0 BGN
2025-02-19 21:33:57.812 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1/10 унция златна монета Британия: Selling: 583.0 BGN, Buying: 628.0 BGN
2025-02-19 21:33:57.813 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1/10 унция златна монета Виенска Филхармония: Selling: 583.0 BGN, Buying: 639.0 BGN
2025-02-19 21:33:57.814 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Канадски кленов лист: Selling: 5639.0 BGN, Buying: 5717.0 BGN
2025-02-19 21:33:57.814 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Австралийско кенгуру: Selling: 5639.0 BGN, Buying: 5695.0 BGN
2025-02-19 21:33:57.815 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 100 грама златно кюлче Valcambi: Selling: 17758.0 BGN, Buying: 18046.0 BGN
2025-02-19 21:33:57.816 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 100 грама златно кюлче Argor-Heraeus: Selling: 17758.0 BGN, Buying: 18064.0 BGN
2025-02-19 21:33:57.817 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 0,25 г златно кюлче Tavex, подаръчен пакет: Selling: 49.0 BGN, Buying: 72.0 BGN
2025-02-19 21:33:57.818 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 50 x 1 грам комбинирано кюлче Valcambi Suisse CombiBar: Selling: 9030.0 BGN, Buying: 9348.0 BGN
2025-02-19 21:33:57.819 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 50 грама златно кюлче Valcambi: Selling: 9030.0 BGN, Buying: 9112.0 BGN
2025-02-19 21:33:57.820 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 50 грама златно кюлче Argor-Heraeus: Selling: 9030.0 BGN, Buying: 9121.0 BGN
