2025-02-13 21:17:43.382 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 5 грама златно кюлче Argor-Heraeus: Selling: 923.0 BGN, Buying: 999.0 BGN
2025-02-13 21:17:43.383 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 5 грама златно кюлче PAMP лунар година на Змията 2025: Selling: 959.0 BGN, Buying: 1048.0 BGN
2025-02-13 21:17:43.384 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 5 грама златно кюлче Argor-Heraeus лунар Змия 2025: Selling: 932.0 BGN, Buying: 1035.0 BGN
2025-02-13 21:17:43.385 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 2,5 грама златно кюлче Valcambi: Selling: 475.0 BGN, Buying: 530.0 BGN
2025-02-13 21:17:43.385 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 2,5 грама златно кюлче PAMP Фортуна: Selling: 475.0 BGN, Buying: 535.0 BGN
2025-02-13 21:17:43.386 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 2 грама златно кюлче Argor-Heraeus: Selling: 379.0 BGN, Buying: 424.0 BGN
2025-02-13 21:17:43.387 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 грам златно кюлче Valcambi: Selling: 186.0 BGN, Buying: 223.0 BGN
2025-02-13 21:17:43.388 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 грам златно кюлче PAMP Фортуна: Selling: 186.0 BGN, Buying: 225.0 BGN
2025-02-13 21:17:43.388 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 грам златно кюлче Argor-Heraeus: Selling: 186.0 BGN, Buying: 222.0 BGN
2025-02-13 21:17:43.389 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 грам златно кюлче Argor-Heraeus лунар Змия 2025: Selling: 213.0 BGN, Buying: 269.0 BGN
2025-02-13 21:17:43.390 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Американски орел: Selling: 5632.0 BGN, Buying: 5860.0 BGN
2025-02-13 21:17:43.390 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 20 долара двоен орел лейди Либърти: Selling: 5289.0 BGN, Buying: 6229.0 BGN
2025-02-13 21:17:43.391 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Американски бизон: Selling: 5716.0 BGN, Buying: 5970.0 BGN
2025-02-13 21:17:43.392 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Кругерранд, Южна Африка: Selling: 5556.0 BGN, Buying: 5667.0 BGN
2025-02-13 21:17:43.393 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Слон Южна Африка - Големите 5: Selling: 5632.0 BGN, Buying: 5749.0 BGN
2025-02-13 21:17:43.393 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златен австралийски лунар година на Заека 2023: Selling: 5688.0 BGN, Buying: 6383.0 BGN
2025-02-13 21:17:43.394 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Австралийски лунар година на Дракона 2024: Selling: 5798.0 BGN, Buying: 6085.0 BGN
2025-02-13 21:17:43.395 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1/4 унция златна монета Австралийски лунар година на Дракона 2024: Selling: 1449.0 BGN, Buying: 1651.0 BGN
2025-02-13 21:17:43.395 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1/10 унция златна монета Австралийски лунар година на Дракона 2024: Selling: 580.0 BGN, Buying: 715.0 BGN
2025-02-13 21:17:43.396 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1/20 унция златна монета Австралийски лунар година на Дракона 2024: Selling: 276.0 BGN, Buying: 404.0 BGN
2025-02-13 21:17:43.397 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1 унция златна монета Австралийски лунар година на Змията 2025: Selling: 5743.0 BGN, Buying: 5860.0 BGN
2025-02-13 21:17:43.398 | DEBUG    | __main__:scrape_prices:317 - Successfully scraped prices for 1/2 унция златна монета Австралийски лунар година на Змията 2025: Selling: 2816.0 BGN, Buying: 3136.0 BGN
